ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
70005,Christa Striezel,Female,27.0,168 cm,58 kg,,FRG,1976 Summer Olympics,1976,Summer,,Athletics,"Long Jump, Women",
70004,Helga Henning,Female,31.0,170 cm,55 kg,,FRG,1968 Summer Olympics,1968,Summer,,Athletics,"400 metres, Women",
70001,Martina Hellmann,Female,28.0,178 cm,85 kg,,GDR,1988 Summer Olympics,1988,Summer,,Athletics,"Discus Throw, Women",Gold
70001,Martina Hellmann,Female,32.0,178 cm,85 kg,,GER,1992 Summer Olympics,1992,Summer,,Athletics,"Discus Throw, Women",
70011,Brigitte Holzapfel,Female,18.0,183 cm,64 kg,,FRG,1976 Summer Olympics,1976,Summer,,Athletics,"High Jump, Women",
70011,Brigitte Holzapfel,Female,26.0,183 cm,64 kg,,FRG,1984 Summer Olympics,1984,Summer,,Athletics,"High Jump, Women",
70006,Grete Heublein,Female,20.0,178 cm,74 kg,,GER,1928 Summer Olympics,1928,Summer,,Athletics,"Discus Throw, Women",
70006,Grete Heublein,Female,24.0,178 cm,74 kg,Germany,GER,1932 Summer Olympics,1932,Summer,,Athletics,"4 × 100 metres Relay, Women",
70006,Grete Heublein,Female,24.0,178 cm,74 kg,,GER,1932 Summer Olympics,1932,Summer,,Athletics,"Discus Throw, Women",
70006,Grete Heublein,Female,24.0,178 cm,74 kg,,GER,1932 Summer Olympics,1932,Summer,,Athletics,"Javelin Throw, Women",
70002,Inge Helten,Female,19.0,171 cm,58 kg,,FRG,1976 Summer Olympics,1976,Summer,,Athletics,"100 metres, Women",Bronze
70002,Inge Helten,Female,19.0,171 cm,58 kg,,FRG,1976 Summer Olympics,1976,Summer,,Athletics,"200 metres, Women",
70002,Inge Helten,Female,19.0,171 cm,58 kg,West Germany,FRG,1976 Summer Olympics,1976,Summer,,Athletics,"4 × 100 metres Relay, Women",Silver
70007,Helga Hoffmann,Female,19.0,168 cm,62 kg,,GER,1956 Summer Olympics,1956,Summer,,Athletics,"Long Jump, Women",
70007,Helga Hoffmann,Female,23.0,168 cm,62 kg,,GER,1960 Summer Olympics,1960,Summer,,Athletics,"Long Jump, Women",
70007,Helga Hoffmann,Female,27.0,168 cm,62 kg,,GER,1964 Summer Olympics,1964,Summer,,Athletics,"Long Jump, Women",
70007,Helga Hoffmann,Female,27.0,168 cm,62 kg,,GER,1964 Summer Olympics,1964,Summer,,Athletics,"Pentathlon, Women",
70010,Silvia Hollmann,Female,21.0,176 cm,64 kg,,FRG,1976 Summer Olympics,1976,Summer,,Athletics,"400 metres, Women",
70010,Silvia Hollmann,Female,21.0,176 cm,64 kg,West Germany,FRG,1976 Summer Olympics,1976,Summer,,Athletics,"4 × 400 metres Relay, Women",
70009,Anni Holdmann,Female,28.0,160 cm,50 kg,,GER,1928 Summer Olympics,1928,Summer,,Athletics,"100 metres, Women",
70009,Anni Holdmann,Female,28.0,160 cm,50 kg,Germany,GER,1928 Summer Olympics,1928,Summer,,Athletics,"4 × 100 metres Relay, Women",Bronze
70003,Brunhilde Hendrix,Female,22.0,168 cm,62 kg,,GER,1960 Summer Olympics,1960,Summer,,Athletics,"100 metres, Women",
70003,Brunhilde Hendrix,Female,22.0,168 cm,62 kg,Unified Team of Germany,GER,1960 Summer Olympics,1960,Summer,,Athletics,"4 × 100 metres Relay, Women",Silver
70008,Leni Hofknecht,Female,23.0,,,Unified Team of Germany,GER,1952 Summer Olympics,1952,Summer,,Athletics,"4 × 100 metres Relay, Women",
70008,Leni Hofknecht,Female,23.0,,,,GER,1952 Summer Olympics,1952,Summer,,Athletics,"Long Jump, Women",
