ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
5,Albert Canet,Male,34.0,,,,FRA,1912 Summer Olympics,1912,Summer,,Tennis,"Singles, Men",
5,Albert Canet,Male,34.0,,,Marguerite Broquedis,FRA,1912 Summer Olympics,1912,Summer,,Tennis,"Doubles, Mixed",Bronze
5,Albert Canet,Male,34.0,,,Édouard Mény de Marangue,FRA,1912 Summer Olympics,1912,Summer,,Tennis,"Doubles, Men",Bronze
3,Jean Borotra,Male,26.0,183 cm,76 kg,,FRA,1924 Summer Olympics,1924,Summer,,Tennis,"Singles, Men",
3,Jean Borotra,Male,26.0,183 cm,76 kg,Marguerite Billout,FRA,1924 Summer Olympics,1924,Summer,,Tennis,"Doubles, Mixed",
3,Jean Borotra,Male,26.0,183 cm,76 kg,René Lacoste,FRA,1924 Summer Olympics,1924,Summer,,Tennis,"Doubles, Men",Bronze
1,Jean-François Blanchy,Male,26.0,,,,FRA,1912 Summer Olympics,1912,Summer,,Tennis,"Singles, Men",
1,Jean-François Blanchy,Male,26.0,,,Jean Montariol,FRA,1912 Summer Olympics,1912,Summer,,Tennis,"Doubles, Men",
1,Jean-François Blanchy,Male,34.0,,,,FRA,1920 Summer Olympics,1920,Summer,,Tennis,"Singles, Men",
1,Jean-François Blanchy,Male,34.0,,,Jeanne Vaussard,FRA,1920 Summer Olympics,1920,Summer,,Tennis,"Doubles, Mixed",
1,Jean-François Blanchy,Male,34.0,,,Jacques Brugnon,FRA,1920 Summer Olympics,1920,Summer,,Tennis,"Doubles, Men",
2,Arnaud Boetsch,Male,27.0,183 cm,76 kg,,FRA,1996 Summer Olympics,1996,Summer,,Tennis,"Singles, Men",
2,Arnaud Boetsch,Male,27.0,183 cm,76 kg,Guillaume Raoux,FRA,1996 Summer Olympics,1996,Summer,,Tennis,"Doubles, Men",
6,Nicolas Chatelain,Male,22.0,181 cm,70 kg,,FRA,1992 Summer Olympics,1992,Summer,,Table Tennis,"Singles, Men",
6,Nicolas Chatelain,Male,22.0,181 cm,70 kg,Patrick Chila,FRA,1992 Summer Olympics,1992,Summer,,Table Tennis,"Doubles, Men",
4,Jacques Brugnon,Male,25.0,168 cm,64 kg,,FRA,1920 Summer Olympics,1920,Summer,,Tennis,"Singles, Men",
4,Jacques Brugnon,Male,25.0,168 cm,64 kg,Jean-François Blanchy,FRA,1920 Summer Olympics,1920,Summer,,Tennis,"Doubles, Men",
4,Jacques Brugnon,Male,29.0,168 cm,64 kg,Henri Cochet,FRA,1924 Summer Olympics,1924,Summer,,Tennis,"Doubles, Men",Silver
7,Patrick Chila,Male,23.0,180 cm,73 kg,Nicolas Chatelain,FRA,1992 Summer Olympics,1992,Summer,,Table Tennis,"Doubles, Men",
7,Patrick Chila,Male,27.0,180 cm,73 kg,,FRA,1996 Summer Olympics,1996,Summer,,Table Tennis,"Singles, Men",
7,Patrick Chila,Male,27.0,180 cm,73 kg,Christophe Legoût,FRA,1996 Summer Olympics,1996,Summer,,Table Tennis,"Doubles, Men",
7,Patrick Chila,Male,31.0,180 cm,73 kg,Jean-Philippe Gatien,FRA,2000 Summer Olympics,2000,Summer,,Table Tennis,"Doubles, Men",Bronze
7,Patrick Chila,Male,35.0,180 cm,73 kg,,FRA,2004 Summer Olympics,2004,Summer,,Table Tennis,"Singles, Men",
7,Patrick Chila,Male,39.0,180 cm,73 kg,,FRA,2008 Summer Olympics,2008,Summer,,Table Tennis,"Singles, Men",
9,Marcel Cousin,Male,28.0,,,,FRA,1924 Summer Olympics,1924,Summer,,Tennis,"Singles, Men",
8,Henri Cochet,Male,23.0,,,,FRA,1924 Summer Olympics,1924,Summer,,Tennis,"Singles, Men",Silver
8,Henri Cochet,Male,23.0,,,Suzanne Lenglen,FRA,1924 Summer Olympics,1924,Summer,,Tennis,"Doubles, Mixed",
8,Henri Cochet,Male,23.0,,,Jacques Brugnon,FRA,1924 Summer Olympics,1924,Summer,,Tennis,"Doubles, Men",Silver
10,Guy de la Chapelle,Male,32.0,,,André Prévost,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Doubles, Men",Bronze
10,Guy de la Chapelle,Male,32.0,,,,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Singles, Handicap, Men",
10,Guy de la Chapelle,Male,32.0,,,Gonzalo de Candamo,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Doubles, Handicap, Men",
11,"Élie, Comte de Lastours",Male,26.0,,,,FRA,1900 Summer Olympics,1900,Summer,,Fencing,"Épée, Individual, Men",
11,"Élie, Comte de Lastours",Male,26.0,,,FRA,FRA,1900 Summer Olympics,1900,Summer,,Fencing,Tennis,
11,"Élie, Comte de Lastours",Male,26.0,,,"Guy, Baron Lejeune",FRA,1900 Summer Olympics,1900,Summer,,Fencing,"Doubles, Men",
11,"Élie, Comte de Lastours",Male,26.0,,,Charlotte Cooper,FRA,1900 Summer Olympics,1900,Summer,,Fencing,"Doubles, Handicap, Mixed",
11,"Élie, Comte de Lastours",Male,26.0,,,,FRA,1900 Summer Olympics,1900,Summer,,Fencing,"Singles, Handicap, Men",
11,"Élie, Comte de Lastours",Male,26.0,,,"Guy, Baron Lejeune",FRA,1900 Summer Olympics,1900,Summer,,Fencing,"Doubles, Handicap, Men",
12,Max Decugis,Male,18.0,,,,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Singles, Men",
12,Max Decugis,Male,18.0,,,Spalding de Garmendia,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Doubles, Men",Silver
12,Max Decugis,Male,18.0,,,Spalding de Garmendia,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Doubles, Handicap, Men",
12,Max Decugis,Male,24.0,,,,FRA,1906  Intercalated Games,1906,,,Tennis,"Singles, Men",Gold
12,Max Decugis,Male,24.0,,,Marie Decugis,FRA,1906  Intercalated Games,1906,,,Tennis,"Doubles, Mixed",Gold
12,Max Decugis,Male,24.0,,,Maurice Germot,FRA,1906  Intercalated Games,1906,,,Tennis,"Doubles, Men",Gold
12,Max Decugis,Male,26.0,,,,FRA,1908 Summer Olympics,1908,Summer,,Tennis,"Singles, Men",
12,Max Decugis,Male,26.0,,,Maurice Germot,FRA,1908 Summer Olympics,1908,Summer,,Tennis,"Doubles, Men",
12,Max Decugis,Male,30.0,,,Marie Decugis,FRA,1912 Summer Olympics,1912,Summer,,Tennis,"Doubles, Covered Courts, Mixed",
12,Max Decugis,Male,30.0,,,,FRA,1912 Summer Olympics,1912,Summer,,Tennis,"Singles, Covered Courts, Men",
12,Max Decugis,Male,38.0,,,,FRA,1920 Summer Olympics,1920,Summer,,Tennis,"Singles, Men",
12,Max Decugis,Male,38.0,,,Suzanne Lenglen,FRA,1920 Summer Olympics,1920,Summer,,Tennis,"Doubles, Mixed",Gold
12,Max Decugis,Male,38.0,,,Pierre Albarran,FRA,1920 Summer Olympics,1920,Summer,,Tennis,"Doubles, Men",Bronze
13,J. Defert,Male,,,,,FRA,1896 Summer Olympics,1896,Summer,,Tennis,"Singles, Men",
13,J. Defert,Male,,,,André Vacherot,FRA,1896 Summer Olympics,1896,Summer,,Tennis,"Doubles, Men",
14,Étienne Durand,Male,,,,,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Singles, Men",
14,Étienne Durand,Male,,,,Adrien Fauchier-Magnan,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Doubles, Men",
14,Étienne Durand,Male,,,,,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Singles, Handicap, Men",
14,Étienne Durand,Male,,,,Adrien Fauchier-Magnan,FRA,1900 Summer Olympics,1900,Summer,,Tennis,"Doubles, Handicap, Men",
