ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
130008,Miriam Casillas,Female,24.0,164 cm,52 kg,,ESP,2016 Summer Olympics,2016,Summer,,Triathlon,"Olympic Distance, Women",
130008,Miriam Casillas,Female,28.0,164 cm,52 kg,,ESP,2020 Summer Olympics,2020,Summer,,Triathlon,"Olympic Distance, Women",
130008,Miriam Casillas,Female,28.0,164 cm,52 kg,Spain,ESP,2020 Summer Olympics,2020,Summer,,Triathlon,"Relay, Mixed",
130012,Patricia Herrera,Female,23.0,163 cm,59 kg,Spain,ESP,2016 Summer Olympics,2016,Summer,,Water Polo (Aquatics),"Water Polo, Women",
130007,Carol Routier,Female,26.0,172 cm,60 kg,,ESP,2016 Summer Olympics,2016,Summer,,Triathlon,"Olympic Distance, Women",
130005,Garbiñe Muguruza,Female,23.0,182 cm,73 kg,,ESP,2016 Summer Olympics,2016,Summer,,Tennis,"Singles, Women",
130005,Garbiñe Muguruza,Female,23.0,182 cm,73 kg,Rafael Nadal,ESP,2016 Summer Olympics,2016,Summer,,Tennis,"Doubles, Mixed",
130005,Garbiñe Muguruza,Female,23.0,182 cm,73 kg,Carla Suárez,ESP,2016 Summer Olympics,2016,Summer,,Tennis,"Doubles, Women",
130005,Garbiñe Muguruza,Female,27.0,182 cm,73 kg,Carla Suárez,ESP,2020 Summer Olympics,2020,Summer,,Tennis,"Doubles, Women",
130005,Garbiñe Muguruza,Female,27.0,182 cm,73 kg,,ESP,2020 Summer Olympics,2020,Summer,,Tennis,"Singles, Women",
130002,Jessica Vall,Female,28.0,163 cm,52 kg,,ESP,2016 Summer Olympics,2016,Summer,,Swimming (Aquatics),"100 metres Breaststroke, Women",
130002,Jessica Vall,Female,28.0,163 cm,52 kg,,ESP,2016 Summer Olympics,2016,Summer,,Swimming (Aquatics),"200 metres Breaststroke, Women",
130002,Jessica Vall,Female,32.0,163 cm,52 kg,,ESP,2020 Summer Olympics,2020,Summer,,Swimming (Aquatics),"100 metres Breaststroke, Women",
130002,Jessica Vall,Female,32.0,163 cm,52 kg,,ESP,2020 Summer Olympics,2020,Summer,,Swimming (Aquatics),"200 metres Breaststroke, Women",
130002,Jessica Vall,Female,32.0,163 cm,52 kg,Spain,ESP,2020 Summer Olympics,2020,Summer,,Swimming (Aquatics),"4 × 100 metres Medley Relay, Women",
130004,María Vilas,Female,20.0,168 cm,64 kg,,ESP,2016 Summer Olympics,2016,Summer,,Swimming (Aquatics),"800 metres Freestyle, Women",
130004,María Vilas,Female,20.0,168 cm,64 kg,,ESP,2016 Summer Olympics,2016,Summer,,Swimming (Aquatics),"400 metres Individual Medley, Women",
130001,Fátima Gallardo,Female,19.0,180 cm,60 kg,Spain,ESP,2016 Summer Olympics,2016,Summer,,Swimming (Aquatics),"4 × 100 metres Freestyle Relay, Women",
130001,Fátima Gallardo,Female,19.0,180 cm,60 kg,Spain,ESP,2016 Summer Olympics,2016,Summer,,Swimming (Aquatics),"4 × 200 metres Freestyle Relay, Women",
130006,Eva Calvo,Female,25.0,176 cm,57 kg,,ESP,2016 Summer Olympics,2016,Summer,,Taekwondo,"Featherweight, Women",Silver
130003,Marta González,Female,21.0,181 cm,73 kg,Spain,ESP,2016 Summer Olympics,2016,Summer,,Swimming (Aquatics),"4 × 100 metres Freestyle Relay, Women",
130009,Bea Ortiz,Female,21.0,176 cm,64 kg,Spain,ESP,2016 Summer Olympics,2016,Summer,,Water Polo (Aquatics),"Water Polo, Women",
130009,Bea Ortiz,Female,25.0,176 cm,64 kg,Spain,ESP,2020 Summer Olympics,2020,Summer,,Water Polo (Aquatics),"Water Polo, Women",Silver
130011,Judith Forca,Female,20.0,173 cm,70 kg,Spain,ESP,2016 Summer Olympics,2016,Summer,,Water Polo (Aquatics),"Water Polo, Women",
130011,Judith Forca,Female,24.0,173 cm,70 kg,Spain,ESP,2020 Summer Olympics,2020,Summer,,Water Polo (Aquatics),"Water Polo, Women",Silver
130010,Clara Espar,Female,22.0,178 cm,68 kg,Spain,ESP,2016 Summer Olympics,2016,Summer,,Water Polo (Aquatics),"Water Polo, Women",
130010,Clara Espar,Female,26.0,178 cm,68 kg,Spain,ESP,2020 Summer Olympics,2020,Summer,,Water Polo (Aquatics),"Water Polo, Women",Silver
130013,Paula Leitón,Female,16.0,187 cm,98 kg,Spain,ESP,2016 Summer Olympics,2016,Summer,,Water Polo (Aquatics),"Water Polo, Women",
130013,Paula Leitón,Female,20.0,187 cm,98 kg,Spain,ESP,2020 Summer Olympics,2020,Summer,,Water Polo (Aquatics),"Water Polo, Women",Silver
130014,Laura Nurmsalu,Female,22.0,170 cm,70 kg,,EST,2016 Summer Olympics,2016,Summer,,Archery,"Individual, Women",
130015,Leila Luik,Female,31.0,165 cm,48 kg,,EST,2016 Summer Olympics,2016,Summer,,Athletics,"Marathon, Women",
130016,Liina Laasma,Female,24.0,174 cm,67 kg,,EST,2016 Summer Olympics,2016,Summer,,Athletics,"Javelin Throw, Women",
130017,Liina Luik,Female,31.0,164 cm,48 kg,,EST,2016 Summer Olympics,2016,Summer,,Athletics,"Marathon, Women",
130018,Lily Luik,Female,31.0,163 cm,48 kg,,EST,2016 Summer Olympics,2016,Summer,,Athletics,"Marathon, Women",
