ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
90001,Phumzile Matyhila,Male,25.0,170 cm,48 kg,,RSA,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Flyweight, Men",
90002,Danie Venter,Male,21.0,190 cm,81 kg,,RSA,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Heavyweight, Men",
90004,Gaydarbek Gaydarbekov,Male,24.0,183 cm,75 kg,,RUS,2000 Summer Olympics,2000,Summer,,Boxing,"Middleweight, Men",Silver
90004,Gaydarbek Gaydarbekov,Male,28.0,183 cm,75 kg,,RUS,2004 Summer Olympics,2004,Summer,,Boxing,"Middleweight, Men",Gold
90010,Ilfat Razyapov,Male,25.0,165 cm,51 kg,,RUS,2000 Summer Olympics,2000,Summer,,Boxing,"Flyweight, Men",
90005,Sultan Ibragimov,Male,25.0,184 cm,91 kg,,RUS,2000 Summer Olympics,2000,Summer,,Boxing,"Heavyweight, Men",Silver
90009,Andrey Mishin,Male,21.0,180 cm,71 kg,,RUS,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Middleweight, Men",
90003,Kamil Dzhamaludinov,Male,21.0,167 cm,57 kg,,RUS,2000 Summer Olympics,2000,Summer,,Boxing,"Featherweight, Men",Bronze
90012,Djibril Fall,Male,24.0,190 cm,81 kg,,SEN,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Heavyweight, Men",
90008,Aleksandr Maletin,Male,25.0,170 cm,64 kg,,RUS,2000 Summer Olympics,2000,Summer,,Boxing,"Lightweight, Men",Bronze
90008,Aleksandr Maletin,Male,29.0,170 cm,64 kg,,RUS,2004 Summer Olympics,2004,Summer,,Boxing,"Light-Welterweight, Men",
90007,Aleksandr Leonov,Male,22.0,170 cm,63 kg,,RUS,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Welterweight, Men",
90006,Sergey Kazakov,Male,24.0,168 cm,48 kg,,RUS,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Flyweight, Men",
90006,Sergey Kazakov,Male,28.0,168 cm,48 kg,,RUS,2004 Summer Olympics,2004,Summer,,Boxing,"Light-Flyweight, Men",Bronze
90011,Pauga Lalau,Male,25.0,,,,SAM,2000 Summer Olympics,2000,Summer,,Boxing,"Heavyweight, Men",
90016,Somchai Cimlum,Male,24.0,179 cm,73 kg,,THA,2000 Summer Olympics,2000,Summer,,Boxing,"Middleweight, Men",
90014,Ihab El-Youssef,Male,29.0,179 cm,81 kg,,SYR,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Heavyweight, Men",
90013,Musa Simelane,Male,26.0,180 cm,57 kg,,SWZ,2000 Summer Olympics,2000,Summer,,Boxing,"Featherweight, Men",
90015,Yousif Massas,Male,21.0,174 cm,71 kg,,SYR,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Middleweight, Men",
90017,Pongsak Hrientounthong,Male,27.0,171 cm,63 kg,,THA,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Welterweight, Men",
90020,Suban Pannon,Male,22.0,162 cm,48 kg,,THA,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Flyweight, Men",
90020,Suban Pannon,Male,26.0,162 cm,48 kg,,THA,2004 Summer Olympics,2004,Summer,,Boxing,"Light-Flyweight, Men",
90021,Pornchai Thongburan,Male,26.0,173 cm,71 kg,,THA,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Middleweight, Men",Bronze
90023,Sontaya Chotipat Wongprated,Male,25.0,170 cm,54 kg,,THA,2000 Summer Olympics,2000,Summer,,Boxing,"Bantamweight, Men",
90025,Sami Khelifi,Male,26.0,173 cm,63 kg,,TUN,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Welterweight, Men",
90024,Naoufel Ben Rabah,Male,23.0,170 cm,60 kg,,TUN,2000 Summer Olympics,2000,Summer,,Boxing,"Lightweight, Men",
90019,Wijan Ponlid,Male,24.0,162 cm,51 kg,,THA,2000 Summer Olympics,2000,Summer,,Boxing,"Flyweight, Men",Gold
90026,Moez Zemzemi,Male,25.0,170 cm,54 kg,,TUN,2000 Summer Olympics,2000,Summer,,Boxing,"Bantamweight, Men",
90027,Ağası Məmmədov,Male,20.0,169 cm,54 kg,,TUR,2000 Summer Olympics,2000,Summer,,Boxing,"Bantamweight, Men",
90027,Ağası Məmmədov,Male,24.0,169 cm,54 kg,,AZE,2004 Summer Olympics,2004,Summer,,Boxing,"Bantamweight, Men",Bronze
90028,Ramazan Ballioğlu,Male,21.0,170 cm,48 kg,,TUR,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Flyweight, Men",
90030,Selim Palyani,Male,24.0,174 cm,60 kg,,TUR,2000 Summer Olympics,2000,Summer,,Boxing,"Lightweight, Men",
90029,Fırat Karagöllü,Male,22.0,179 cm,71 kg,,TUR,2000 Summer Olympics,2000,Summer,,Boxing,"Light-Middleweight, Men",
90031,Halil İbrahim Turan,Male,20.0,163 cm,51 kg,,TUR,2000 Summer Olympics,2000,Summer,,Boxing,"Flyweight, Men",
90032,Bülent Ulusoy,Male,22.0,178 cm,69 kg,,TUR,2000 Summer Olympics,2000,Summer,,Boxing,"Welterweight, Men",
90032,Bülent Ulusoy,Male,26.0,178 cm,69 kg,,TUR,2004 Summer Olympics,2004,Summer,,Boxing,"Welterweight, Men",
90033,Jackson Asiku,Male,22.0,160 cm,51 kg,,UGA,2000 Summer Olympics,2000,Summer,,Boxing,"Flyweight, Men",
