ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
140009,Valtteri Kautonen,Male,18.0,,,,FIN,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Slopestyle, Boys",
140009,Valtteri Kautonen,Male,18.0,,,,FIN,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Halfpipe, Boys",
140009,Valtteri Kautonen,Male,18.0,,,,FIN,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Big Air, Boys",
140012,Till Strohmeyer,Male,18.0,,,,GER,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Slopestyle, Boys",
140012,Till Strohmeyer,Male,18.0,,,,GER,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Big Air, Boys",
140003,Motiejus Morauskas,Male,18.0,,,,LTU,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Slopestyle, Boys",
140003,Motiejus Morauskas,Male,18.0,,,,LTU,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Big Air, Boys",
140006,Karolína Dobrá,Female,17.0,,,,CZE,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Cross, Girls",
140010,Nick Pünter,Male,18.0,,,,SUI,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Slopestyle, Boys",Bronze
140010,Nick Pünter,Male,18.0,,,,SUI,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Big Air, Boys",
140002,Teodora Ilieva,Female,17.0,,,,BUL,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Cross, Girls",
140002,Teodora Ilieva,Female,17.0,,,BUL,BUL,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),Mixed Sports,
140002,Teodora Ilieva,Female,17.0,,,Mixed Team 7,BUL,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Freestyle/Snowboard Relay, Mixed Youth",
140005,Celia Trinkl,Female,17.0,,,,GER,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Cross, Girls",
140008,Wang Jianjie,Female,17.0,,,,CHN,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Halfpipe, Girls",
140001,Jia Yanru,Female,18.0,,,,CHN,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Halfpipe, Girls",
140011,Mitsuki Ono,Female,16.0,,,,JPN,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Halfpipe, Girls",Gold
140011,Mitsuki Ono,Female,18.0,,,,JPN,2022 Winter Olympics,2022,Winter,,Snowboarding (Skiing),"Halfpipe, Women",
140013,Niccolò Colturi,Male,17.0,,,,ITA,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Cross, Boys",
140013,Niccolò Colturi,Male,17.0,,,ITA,ITA,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),Mixed Sports,
140013,Niccolò Colturi,Male,17.0,,,Mixed Team 9,ITA,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Freestyle/Snowboard Relay, Mixed Youth",
140014,Luca Abbati,Male,18.0,,,,ITA,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Cross, Boys",
140015,Eva Hanicová,Female,16.0,,,,SVK,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Slopestyle, Girls",
140015,Eva Hanicová,Female,16.0,,,,SVK,2020 Winter Youth Olympics,2020,Winter,,Snowboarding (Skiing),"Big Air, Girls",
140016,Finn Braun,Male,18.0,,,,GER,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Boys",
140016,Finn Braun,Male,18.0,,,GER,GER,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),Mixed Sports,
140016,Finn Braun,Male,18.0,,,Germany,GER,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Cross-Country Skiing / Ski Jumping / Nordic Combined Team, Mixed Youth",
140018,Lara Logar,Female,17.0,,,,SLO,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Girls",
140018,Lara Logar,Female,17.0,,,Slovenia,SLO,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Team, Mixed Youth",
140018,Lara Logar,Female,17.0,,,SLO,SLO,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),Mixed Sports,
140018,Lara Logar,Female,17.0,,,Slovenia,SLO,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Cross-Country Skiing / Ski Jumping / Nordic Combined Team, Mixed Youth",
140017,Nora Midtsundstad,Female,17.0,,,,NOR,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Girls",
140017,Nora Midtsundstad,Female,17.0,,,NOR,NOR,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),Mixed Sports,
140017,Nora Midtsundstad,Female,17.0,,,Norway,NOR,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Cross-Country Skiing / Ski Jumping / Nordic Combined Team, Mixed Youth",Gold
140025,Adam Niżnik,Male,18.0,,,,POL,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Boys",
140021,Veronika Shishkina,Female,17.0,,,,KAZ,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Girls",
140023,Petr Vaverka,Male,17.0,,,,CZE,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Boys",
140026,Rea Kindlimann,Female,18.0,,,,SUI,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Girls",
140026,Rea Kindlimann,Female,18.0,,,Switzerland,SUI,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Team, Mixed Youth",
140022,Simen Markeng,Male,18.0,,,,NOR,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Boys",
140022,Simen Markeng,Male,18.0,,,Norway,NOR,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Team, Mixed Youth",
140020,Marco Wörgötter,Male,18.0,174 cm,59 kg,,AUT,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Boys",Gold
140020,Marco Wörgötter,Male,18.0,174 cm,59 kg,Austria,AUT,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Team, Mixed Youth",Gold
140024,Paige Jones,Female,18.0,,,,USA,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Girls",
140024,Paige Jones,Female,18.0,,,United States,USA,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Team, Mixed Youth",
140028,Robert Sandulescu,Male,17.0,,,,ROU,2020 Winter Youth Olympics,2020,Winter,,Ski Jumping (Skiing),"Normal Hill, Individual, Boys",
