ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
60002,Gösta Andersson,Male,31.0,,,,SWE,1948 Summer Olympics,1948,Summer,,Wrestling,"Welterweight, Greco-Roman, Men",Gold
60002,Gösta Andersson,Male,35.0,,,,SWE,1952 Summer Olympics,1952,Summer,,Wrestling,"Welterweight, Greco-Roman, Men",Silver
60003,Johan Andersson,Male,23.0,,,,SWE,1912 Summer Olympics,1912,Summer,,Wrestling,"Middleweight B, Greco-Roman, Men",
60004,Kent Andersson,Male,21.0,155 cm,51 kg,,SWE,1980 Summer Olympics,1980,Summer,,Wrestling,"Light-Flyweight, Greco-Roman, Men",
60004,Kent Andersson,Male,25.0,155 cm,51 kg,,SWE,1984 Summer Olympics,1984,Summer,,Wrestling,"Light-Flyweight, Greco-Roman, Men",
60004,Kent Andersson,Male,25.0,155 cm,51 kg,,SWE,1984 Summer Olympics,1984,Summer,,Wrestling,"Light-Flyweight, Freestyle, Men",
60006,Mauritz Andersson,Male,22.0,73 kg,,,SWE,1908 Summer Olympics,1908,Summer,,Wrestling,"Middleweight, Greco-Roman, Men",Silver
60006,Mauritz Andersson,Male,26.0,73 kg,,,SWE,1912 Summer Olympics,1912,Summer,,Wrestling,"Middleweight A, Greco-Roman, Men",
60001,Frank Andersson,Male,20.0,186 cm,93 kg,,SWE,1976 Summer Olympics,1976,Summer,,Wrestling,"Light-Heavyweight, Greco-Roman, Men",
60001,Frank Andersson,Male,20.0,186 cm,93 kg,,SWE,1976 Summer Olympics,1976,Summer,,Wrestling,"Light-Heavyweight, Freestyle, Men",
60001,Frank Andersson,Male,24.0,186 cm,93 kg,,SWE,1980 Summer Olympics,1980,Summer,,Wrestling,"Light-Heavyweight, Greco-Roman, Men",
60001,Frank Andersson,Male,24.0,186 cm,93 kg,,SWE,1980 Summer Olympics,1980,Summer,,Wrestling,"Heavyweight, Freestyle, Men",
60001,Frank Andersson,Male,28.0,186 cm,93 kg,,SWE,1984 Summer Olympics,1984,Summer,,Wrestling,"Light-Heavyweight, Greco-Roman, Men",Bronze
60001,Frank Andersson,Male,28.0,186 cm,93 kg,,SWE,1984 Summer Olympics,1984,Summer,,Wrestling,"Light-Heavyweight, Freestyle, Men",
60005,Leif Andersson,Male,27.0,175 cm,85 kg,,SWE,1976 Summer Olympics,1976,Summer,,Wrestling,"Middleweight, Greco-Roman, Men",
60005,Leif Andersson,Male,31.0,175 cm,85 kg,,SWE,1980 Summer Olympics,1980,Summer,,Wrestling,"Middleweight, Greco-Roman, Men",
60011,Usama Aziz,Male,20.0,169 cm,72 kg,,SWE,1992 Summer Olympics,1992,Summer,,Wrestling,"Featherweight, Greco-Roman, Men",
60011,Usama Aziz,Male,24.0,169 cm,72 kg,,SWE,1996 Summer Olympics,1996,Summer,,Wrestling,"Featherweight, Greco-Roman, Men",
60007,Roland Andersson,Male,28.0,179 cm,88 kg,,SWE,1972 Summer Olympics,1972,Summer,,Wrestling,"Light-Heavyweight, Greco-Roman, Men",
60007,Roland Andersson,Male,28.0,179 cm,88 kg,,SWE,1972 Summer Olympics,1972,Summer,,Wrestling,"Light-Heavyweight, Freestyle, Men",
60012,Arvid Beckman,Male,23.0,,,,SWE,1912 Summer Olympics,1912,Summer,,Wrestling,"Featherweight, Greco-Roman, Men",
60008,Thure Andersson,Male,29.0,,,,SWE,1936 Summer Olympics,1936,Summer,,Wrestling,"Welterweight, Freestyle, Men",Silver
60010,Hans Antonsson,Male,26.0,179 cm,79 kg,,SWE,1960 Summer Olympics,1960,Summer,,Wrestling,"Middleweight, Freestyle, Men",Bronze
60009,Bertil Antonsson,Male,27.0,187 cm,100 kg,,SWE,1948 Summer Olympics,1948,Summer,,Wrestling,"Heavyweight, Freestyle, Men",Silver
