ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
120006,Mathieu,Male,,,,Pierre Ferlin,FRA,1900 Summer Olympics,1900,Summer,,Rowing,"Coxed Pairs, Men",
120009,Ionel Radu,Male,23.0,198 cm,106 kg,Romania,ROU,1992 Summer Olympics,1992,Summer,,Handball,"Handball, Men",
120004,Dee Hirschland,Female,36.0,164 cm,64 kg,,USA,1964 Winter Olympics,1964,Winter,,Luge,"Singles, Women",
120007,Léo Rooman,Male,24.0,,,Belgium,BEL,1952 Summer Olympics,1952,Summer,,Hockey,"Hockey, Men",
120010,Auguszta Mátyás,Female,28.0,171 cm,70 kg,Hungary,HUN,1996 Summer Olympics,1996,Summer,,Handball,"Handball, Women",Bronze
120011,Alex Vasilakis,Male,22.0,186 cm,86 kg,Switzerland,SUI,1996 Summer Olympics,1996,Summer,,Handball,"Handball, Men",
120008,Eddie Heron,Male,38.0,,,,IRL,1948 Summer Olympics,1948,Summer,,Diving (Aquatics),"Springboard, Men",
120008,Eddie Heron,Male,38.0,,,,IRL,1948 Summer Olympics,1948,Summer,,Diving (Aquatics),"Platform, Men",
120002,Geoff Bennett,Male,30.0,,,Australia,AUS,1956 Summer Olympics,1956,Summer,,Hockey,"Hockey, Men",
120001,Don Mecklem,Male,30.0,,,Australia,AUS,1956 Summer Olympics,1956,Summer,,Hockey,"Hockey, Men",
120003,Kenneth Clarke,Male,25.0,,,Australia,AUS,1956 Summer Olympics,1956,Summer,,Hockey,"Hockey, Men",
120005,Anka Georgieva,Female,21.0,165 cm,50 kg,Bulgaria,BUL,1980 Summer Olympics,1980,Summer,,Rowing,"Coxed Quadruple Sculls, Women",Bronze
120014,Cheryl Abplanalp,Female,24.0,174 cm,68 kg,United States,USA,1996 Summer Olympics,1996,Summer,,Handball,"Handball, Women",
120013,Gwak Hye-Jeong,Female,21.0,170 cm,65 kg,Republic of Korea,KOR,1996 Summer Olympics,1996,Summer,,Handball,"Handball, Women",Silver
120015,Theo Koppen,Male,34.0,,,,USA,1904 Summer Olympics,1904,Summer,,Wrestling,"Featherweight, Freestyle, Men",
120019,Jim Murphy,Male,29.0,,,,IRL,1932 Summer Olympics,1932,Summer,,Boxing,"Light-Heavyweight, Men",
120016,Fredy Grosheny,Male,25.0,182 cm,85 kg,France,FRA,1960 Summer Olympics,1960,Summer,,Canoe Sprint (Canoeing),"Kayak Relay, 4 × 500 metres, Men",
120018,Johann Standmann,Male,25.0,,,,AUT,1988 Winter Olympics,1988,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Men",
120018,Johann Standmann,Male,25.0,,,,AUT,1988 Winter Olympics,1988,Winter,,Cross Country Skiing (Skiing),"30 kilometres, Men",
120018,Johann Standmann,Male,25.0,,,,AUT,1988 Winter Olympics,1988,Winter,,Cross Country Skiing (Skiing),"50 kilometres, Men",
120018,Johann Standmann,Male,25.0,,,Austria,AUT,1988 Winter Olympics,1988,Winter,,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",
120017,Joan Rosazza,Female,19.0,170 cm,59 kg,,USA,1956 Summer Olympics,1956,Summer,,Swimming (Aquatics),"100 metres Freestyle, Women",
120017,Joan Rosazza,Female,19.0,170 cm,59 kg,United States,USA,1956 Summer Olympics,1956,Summer,,Swimming (Aquatics),"4 × 100 metres Freestyle Relay, Women",Silver
120020,Štefan Katušák,Male,27.0,182 cm,80 kg,Czechoslovakia,TCH,1976 Summer Olympics,1976,Summer,,Handball,"Handball, Men",
120022,Mercedes del Risco,Female,19.0,161 cm,48 kg,Cuba,CUB,1980 Summer Olympics,1980,Summer,,Fencing,"Foil, Team, Women",
120023,Marion Schulze,Female,24.0,169 cm,61 kg,East Germany,GDR,1980 Summer Olympics,1980,Summer,,Fencing,"Foil, Team, Women",
120024,Nikolay Alyokhin,Male,26.0,,,Soviet Union,URS,1980 Summer Olympics,1980,Summer,,Fencing,"Sabre, Team, Men",Gold
120021,Lotfi Rebai,Male,22.0,190 cm,85 kg,Tunisia,TUN,1976 Summer Olympics,1976,Summer,,Handball,"Handball, Men",
120026,André Nicolas,Male,24.0,185 cm,80 kg,Brazil,BRA,1984 Summer Olympics,1984,Summer,,Water Polo (Aquatics),"Water Polo, Men",
120027,Brian Collyer,Male,23.0,201 cm,97 kg,Canada,CAN,1984 Summer Olympics,1984,Summer,,Water Polo (Aquatics),"Water Polo, Men",
120028,Stavros Giannopoulos,Male,23.0,186 cm,80 kg,Greece,GRE,1984 Summer Olympics,1984,Summer,,Water Polo (Aquatics),"Water Polo, Men",
120032,Adolphe Canneson,Male,,,,,FRA,1900 Summer Olympics,1900,Summer,,Fencing,"Foil, Masters, Individual, Men",
120031,Jules Large,Male,17.0,,,,FRA,1900 Summer Olympics,1900,Summer,,Fencing,"Foil, Masters, Individual, Men",
120029,Asami Oura,Male,22.0,177 cm,70 kg,Japan,JPN,1984 Summer Olympics,1984,Summer,,Water Polo (Aquatics),"Water Polo, Men",
120033,Lee Gyeong-Chun,Male,27.0,,,Republic of Korea,KOR,1996 Summer Olympics,1996,Summer,,Football (Football),"Football, Men",
120025,Marin Ivanov,Male,26.0,,,Bulgaria,BUL,1980 Summer Olympics,1980,Summer,,Fencing,"Sabre, Team, Men",
120030,Andrija Popović,Male,25.0,193 cm,86 kg,Yugoslavia,YUG,1984 Summer Olympics,1984,Summer,,Water Polo (Aquatics),"Water Polo, Men",Gold
120034,Antoine Nkounkou,Male,24.0,,,Congo,CGO,1972 Summer Olympics,1972,Summer,,Athletics,"4 × 100 metres Relay, Men",
120034,Antoine Nkounkou,Male,28.0,,,Congo,CGO,1976 Summer Olympics,1976,Summer,,Athletics,"4 × 100 metres Relay, Men",
120034,Antoine Nkounkou,Male,32.0,,,Congo,CGO,1980 Summer Olympics,1980,Summer,,Athletics,"4 × 100 metres Relay, Men",
120034,Antoine Nkounkou,Male,36.0,,,Congo,CGO,1984 Summer Olympics,1984,Summer,,Athletics,"4 × 100 metres Relay, Men",
120048,Lilo Mund,Female,17.0,,,,CHI,1956 Summer Olympics,1956,Summer,,Diving (Aquatics),"Springboard, Women",
120049,Daniel Voß,Male,25.0,204 cm,98 kg,Germany,GER,1996 Summer Olympics,1996,Summer,,Water Polo (Aquatics),"Water Polo, Men",
120050,Ilunga Zatara,Male,29.0,171 cm,65 kg,,COD,2012 Summer Olympics,2012,Summer,,Athletics,"Marathon, Men",
120051,Maciej Rosiewicz,Male,35.0,173 cm,68 kg,,GEO,2012 Summer Olympics,2012,Summer,,Athletics,"50 kilometres Race Walk, Men",
120052,Carine Ngarlemdana,Female,18.0,175 cm,70 kg,,CHA,2012 Summer Olympics,2012,Summer,,Judo,"Middleweight, Women",
