ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
30004,Joseph Parent,Male,,,,France,FRA,1908 Summer Olympics,1908,Summer,,Artistic Gymnastics (Gymnastics),"Team All-Around, Men",
30005,Pierre Payssé,Male,27.0,,,,FRA,1900 Summer Olympics,1900,Summer,,Artistic Gymnastics (Gymnastics),"Individual All-Around, Men",
30005,Pierre Payssé,Male,27.0,,,,FRA,1900 Summer Olympics,1900,Summer,,Artistic Gymnastics (Gymnastics),"Festival for Societies of the Seine, Artistic, Individual, Men",
30005,Pierre Payssé,Male,27.0,,,,FRA,1900 Summer Olympics,1900,Summer,,Artistic Gymnastics (Gymnastics),"Festival for Societies of the Seine, Individual (#2), Men",
30005,Pierre Payssé,Male,33.0,,,,FRA,1906  Intercalated Games,1906,,,Artistic Gymnastics (Gymnastics),"Individual All-Around, Men",Gold
30005,Pierre Payssé,Male,33.0,,,,FRA,1906  Intercalated Games,1906,,,Artistic Gymnastics (Gymnastics),"Individual All-Around, 5 Events, Men",Gold
30003,Louis Poppe,Male,24.0,,,France,FRA,1908 Summer Olympics,1908,Summer,,Artistic Gymnastics (Gymnastics),"Team All-Around, Men",
30006,Thierry Pecqueux,Male,23.0,168 cm,64 kg,,FRA,1988 Summer Olympics,1988,Summer,,Artistic Gymnastics (Gymnastics),"Individual All-Around, Men",
30006,Thierry Pecqueux,Male,23.0,168 cm,64 kg,France,FRA,1988 Summer Olympics,1988,Summer,,Artistic Gymnastics (Gymnastics),"Team All-Around, Men",
30006,Thierry Pecqueux,Male,23.0,168 cm,64 kg,,FRA,1988 Summer Olympics,1988,Summer,,Artistic Gymnastics (Gymnastics),"Floor Exercise, Men",
30006,Thierry Pecqueux,Male,23.0,168 cm,64 kg,,FRA,1988 Summer Olympics,1988,Summer,,Artistic Gymnastics (Gymnastics),"Horse Vault, Men",
30006,Thierry Pecqueux,Male,23.0,168 cm,64 kg,,FRA,1988 Summer Olympics,1988,Summer,,Artistic Gymnastics (Gymnastics),"Parallel Bars, Men",
30006,Thierry Pecqueux,Male,23.0,168 cm,64 kg,,FRA,1988 Summer Olympics,1988,Summer,,Artistic Gymnastics (Gymnastics),"Horizontal Bar, Men",
30006,Thierry Pecqueux,Male,23.0,168 cm,64 kg,,FRA,1988 Summer Olympics,1988,Summer,,Artistic Gymnastics (Gymnastics),"Rings, Men",
30006,Thierry Pecqueux,Male,23.0,168 cm,64 kg,,FRA,1988 Summer Olympics,1988,Summer,,Artistic Gymnastics (Gymnastics),"Pommelled Horse, Men",
